,2
0,petal.length
1,1.4
2,1.4
3,1.3
4,1.5
5,1.4
6,1.7
7,1.4
8,1.5
9,1.4
10,1.5
11,1.5
12,1.6
13,1.4
14,1.1
15,1.2
16,1.5
17,1.3
18,1.4
19,1.7
20,1.5
21,1.7
22,1.5
23,1
24,1.7
25,1.9
26,1.6
27,1.6
28,1.5
29,1.4
30,1.6
31,1.6
32,1.5
33,1.5
34,1.4
35,1.5
36,1.2
37,1.3
38,1.4
39,1.3
40,1.5
41,1.3
42,1.3
43,1.3
44,1.6
45,1.9
46,1.4
47,1.6
48,1.4
49,1.5
50,1.4
51,4.7
52,4.5
53,4.9
54,4
55,4.6
56,4.5
57,4.7
58,3.3
59,4.6
60,3.9
61,3.5
62,4.2
63,4
64,4.7
65,3.6
66,4.4
67,4.5
68,4.1
69,4.5
70,3.9
71,4.8
72,4
73,4.9
74,4.7
75,4.3
76,4.4
77,4.8
78,5
79,4.5
80,3.5
81,3.8
82,3.7
83,3.9
84,5.1
85,4.5
86,4.5
87,4.7
88,4.4
89,4.1
90,4
91,4.4
92,4.6
93,4
94,3.3
95,4.2
96,4.2
97,4.2
98,4.3
99,3
100,4.1
101,6
102,5.1
103,5.9
104,5.6
105,5.8
106,6.6
107,4.5
108,6.3
109,5.8
110,6.1
111,5.1
112,5.3
113,5.5
114,5
115,5.1
116,5.3
117,5.5
118,6.7
119,6.9
120,5
121,5.7
122,4.9
123,6.7
124,4.9
125,5.7
126,6
127,4.8
128,4.9
129,5.6
130,5.8
131,6.1
132,6.4
133,5.6
134,5.1
135,5.6
136,6.1
137,5.6
138,5.5
139,4.8
140,5.4
141,5.6
142,5.1
143,5.1
144,5.9
145,5.7
146,5.2
147,5
148,5.2
149,5.4
150,5.1
